"page_id","page_title","page_is_redirect","page_len","wikidata_numeric_id","views"
"36437992","Jimmy Kelly (footballer, born 1954)","1","3965","Q6200529","59"
"7152487","Martha Holmes (photographer)","0","5177","Q13560905","207"
"32333628","Benedetto Rusconi","1","2183","Q3638104","81"
"8672809","William Erese","1","3862","Q3568596","50"
"32822364","Chris Taylor (politician)","1","15363","Q5108243","180"
"57235828","Jaboukie Young-White","1","20879","Q52274823","19602"
"1306336","Eric Allen","1","7902","Q5386007","2482"
"","Ram_Charan_filmography_and_awards","","","",""
"84275","Melissa Etheridge","1","66880","Q270669","43271"
"17545813","David B. Allison","0","19980","Q5230948","417"
"14910429","Harry Bild","0","3122","Q1375897","230"
"1529042","Peter F. Paul","1","29887","Q7173909","548"
"","James%2C_Earl_of_Wessex","","","",""
"9332339","Claudia Orange","1","10304","Q5129233","296"
"39649765","Thomas Hayo","1","5233","Q2424597","1184"
"67549930","Jason Pinnock","0","4249","Q106676583","1831"
"1059915","Masako Nozawa","1","22517","Q259422","18454"
"18559515","Christian Lindner","1","32742","Q85806","8311"
"36641402","Eva Greenslit Anderson","1","4099","Q5415057","56"
"414308","Tom Sizemore","1","74075","Q349852","63398"
"58585064","Ava Max","1","72927","Q56755505","66915"
"9832201","Winston Churchill (Cavalier)","1","9077","Q2916076","4004"
"10136453","Pekka Haavisto","1","26982","Q317485","2911"
"1896234","Gianni Amelio","1","6183","Q558109","941"
"28041300","Howard Warren Buffett","0","18582","Q5921204","10021"
"","Frederik_Marcus_Knuth_%28taxonomist%29","","","",""
"31646716","Paul Smith (academic)","0","2143","Q7153656","78"
"","Paul_R._Abramson_%28psychologist%29","","","",""
"639346","Diane Warren","1","38053","Q237354","27187"
"49744809","Anthony Carrigan (academic)","1","15613","Q23057843","98"
"31498527","Scooter Berry","0","5475","Q7434393","166"
"4660186","Haim Oron","1","5799","Q981725","338"
"8146090","Rossy de Palma","1","17007","Q266626","10228"
"4616206","Tommy Lee Wallace","1","9680","Q574983","24066"
"20183669","Chris Hipkins","1","101553","Q5106890","1992"
"15905321","James Taylor (cricketer, born 1990)","0","58124","Q6144051","2664"
"36330675","Julia Roberts (soccer)","1","9179","Q6306692","173"
"17155880","Ludwig Maurer","0","1123","Q104822","149"
"45452895","Britt Lower","0","8519","Q19538831","34315"
"38659992","Simone Biles","1","166115","Q7520267","71095"
"683150","Drake Bell","1","82648","Q261812","69922"
"10477034","David McAllister","1","24152","Q62093","1938"
"54973863","Clarke Gayford","0","20676","Q52151947","10846"
"154676","Pauline Viardot","1","23339","Q122998","2708"
"33395245","James Murphy (guitarist)","1","10095","Q630873","3255"
"49510887","Andreas Scheuer","0","9467","Q500381","760"
"606463","Andrew Smith (zoologist)","0","10615","Q507606","1251"
"25274270","William McAvoy","1","18676","Q8015305","82"
"30654033","Patrick Mölleken","1","35367","Q97473","377"
"57233717","Sven Petersen","0","1507","Q55362580","156"
"36541112","Ri Sol-ju","1","28827","Q714658","47010"
"3850153","Anne-Marie Duff","1","28408","Q259688","85291"
"32799841","Lucien Laviscount","1","13177","Q3265596","19471"
"171593","Javier Bardem","1","50307","Q134895","182453"
"45558764","Mario López Estrada","1","4564","Q19561253","808"
"","Diego_Maradona_Jr.","","","",""
"56946255","Edin Terzić (alpine skier)","1","1306","Q43847435","38"
"6502561","Shehbaz Sharif","1","69755","Q2096387","67086"
"43285894","Madeline Brewer","0","12017","Q17385680","47629"
"40605906","Liam Payne","1","63673","Q2756349","79827"
"30528002","Ed Sheeran","1","214258","Q47447","330522"
"2695592","Gabriella Dorio","0","8075","Q254667","229"
"9429629","Jimmy James (tracker, 1913–1991)","1","5776","Q12858642","98"
"41208064","Beatrice Egli","0","10495","Q13360930","3384"
"8634753","Craig Roberts","0","15127","Q3400399","12568"
"47641975","Imran Khan (solicitor)","1","2820","Q21061850","461"
"4153336","Charles Michel (ophthalmologist)","1","2367","Q5080932","90"
"56975786","John Choi","1","5615","Q51337151","472"
"16175465","Tiffany Haddish","1","47856","Q11835264","93554"
"9130690","Peter Morgan (rugby union)","1","3465","Q3376765","93"
"7028414","Eddie Redmayne","1","63362","Q28288","469351"
"50225094","Nita Ambani","0","47529","Q7041178","45296"
"17134262","Brad Pitt (boxer)","1","5026","Q373912","338"
"48565857","Imran Khan (web developer)","0","23245","Q21514073","539"
"47044393","Álvaro Soler","1","43708","Q20203583","9903"
"4918004","Percy Smith (ethnologist)","1","5013","Q7610997","305"
"39610880","Wes Gordon","0","2140","Q16224358","1532"
"3873600","Tim Cook (footballer)","0","3371","Q7803347","80"
"67175668","James Walter Grimes","1","6055","Q5925894","42"
"57187","Mick Jagger","1","187589","Q128121","218555"
"15516702","David Harewood","1","31018","Q3018042","40107"
"4245535","Steven R. Smith","1","7526","Q7615180","370"
"2190185","Melanie Lynskey","0","131671","Q235905","145392"
"2337119","Kevin McCarthy","1","132400","Q766866","858"
"34543673","Bono da Ferrara","0","1784","Q2910322","95"
"67287878","Charithra Chandran","1","10734","Q106320886","23296"
"16230461","Michael A. Cohen","0","2787","Q6829331","248"
"50532103","Papis Loveday","0","12780","Q15839498","380"
"11521877","Robin Lindsay","1","3350","Q1813166","82"
"9055691","Laura Osswald","0","1228","Q88514","247"
"8722536","Karen Bass","1","75703","Q461739","57036"
"338887","Daryl Hannah","1","49902","Q207596","121293"
"650426","Marilyn Manson","1","226864","Q186327","194705"
"11446437","Chrystia Freeland","1","77901","Q4492815","34200"
"13891213","David Odden","1","3227","Q5238188","81"
"37068952","Tom Helm (rugby)","1","7848","Q7816156","55"
"16453","Joachim I Nestor, Elector of Brandenburg","1","9239","Q61814","1944"
"26050701","Joey Kelly","0","4151","Q1548144","1800"
"14147059","Kevin Bacon (producer)","1","4246","Q6395764","1054"
"46435923","Albert II, Count of Namur","1","2688","Q262528","619"
"175882","Henry Cockburn, Lord Cockburn","1","17578","Q5719616","2202"
"38380028","Alexia Fast","0","10805","Q4068836","9613"
"48645177","David Byrne (playwright)","1","2855","Q22000528","163"
"21222169","James McAvoy","1","75218","Q193659","155015"
"30677789","Mishaal bin Hamad bin Khalifa Al Thani","0","4307","Q6875474","3278"
"25115958","William Adams (author)","0","6600","Q8004140","114"
"406617","Giorgio Armani","1","27939","Q157054","41213"
"24424679","Oliver Glasner","1","14027","Q874777","7845"
"5663142","Hugh Evans (basketball)","1","8752","Q5930692","1005"
"42650","Marcel Duchamp","1","88262","Q5912","36607"
"5860151","Haakon Paulsson","1","9646","Q3125245","319"
"58041419","Bronny James","1","43122","Q22302425","140516"
"63960136","Eva G. T. Green","0","7906","Q94444499","239"
"35988632","Jerome Powell","1","88248","Q6182718","70306"
"43568275","Judith Jagdmann","0","3178","Q17517124","241"
"26572102","Greta Gerwig","1","62996","Q271967","77778"
"9899105","Tom Ford (presenter)","0","4125","Q7815834","929"
"63151973","Martin Burkert (sport shooter)","0","1442","Q85606063","43"
"144152","Kevin Costner","1","55162","Q11930","290436"
"1791119","Paul Egede","1","6307","Q1364794","500"
"10542446","Paul Feig","1","31968","Q2031292","79823"
"22715327","Sam Smith (rugby league)","1","7332","Q7408177","64"
"61793848","Saskia Esken","0","11482","Q15813082","3342"
"36354518","David Levine (executive)","1","5482","Q5236535","96"
"2343249","Tom Hollander","1","42879","Q312124","73412"
"45710991","Jan Böhmermann","1","37945","Q1361675","3407"
"53325659","Robert Blakey (writer)","0","5295","Q18527057","116"
"57368452","Sophia Thomalla","0","8340","Q109608","18551"
"51504589","Chris Evans (American football)","0","21258","Q27918241","3029"
"415000","Edward Drinker Cope","1","75684","Q298933","4567"
"19257393","Mélanie Laurent","1","61397","Q234581","48464"
"16751082","Wolfgang Sidka","0","6086","Q568354","427"
"56972822","Angelo Kelly-Rosales","1","6018","Q51092277","198"
"71328807","Sam Smith (toy-maker)","1","3303","Q113380083","98"
"36674878","Alexander Klibanov (biologist)","1","2739","Q4719325","63"
"41244109","Maria Lourdes Heras-de Leon","0","3186","Q16225742","182"
"21188633","Sam Neill","1","48320","Q214309","135815"
"3381756","Todd Field","1","52624","Q670296","111320"
"42750222","Sarah Ferguson (journalist)","0","36797","Q17004206","7682"
"204728","Matthew C. Perry","1","40826","Q61855","24256"
"298398","Micheál Martin","1","80539","Q920403","39316"
"69557670","Peter Andrew Jestyn Phillips","1","11530","Q108876318","367"
"618546","Nancy Wilson (rock musician)","1","41404","Q263772","69043"
"60927452","Khalid Muneer","1","4239","Q64498150","1749"
"22617592","Erik Moseholm","1","3679","Q507993","141"
"206705","Colin Farrell","1","75285","Q172035","412576"
"45626938","Brian Cox (poet)","1","2141","Q19594790","171"
"28888307","Paul Richter","1","7055","Q79047","458"
"306445","Anna Lührmann","1","10922","Q85933","978"
"41141683","Peter Frank (academic)","0","2875","Q15992986","109"
"44467686","Jashodaben Modi","1","35927","Q16947607","41910"
"26763420","Tom Holland","1","90883","Q2023710","416088"
"840060","Jacob van Ruisdael","1","64892","Q213612","4243"
"2293356","Ben Foster (footballer)","1","72800","Q10585","60472"
"733168","Robert B. Parker","1","27048","Q550819","7788"
"746475","Geraldine Chaplin","1","35935","Q230636","77708"
"3991193","Katie Holmes","1","80261","Q174346","205912"
"7883410","Anne Marie d'Orléans","1","14830","Q230873","6731"
"6146151","Tamim bin Hamad Al Thani","1","113425","Q1855372","72661"
"850593","John Carney (Delaware politician)","1","28669","Q505302","2"
"56782703","Lil Baby","1","44901","Q50527563","195118"
"44973579","María García Granados y Saborío","1","20515","Q18711141","519"
"3884991","Halina Reijn","0","105814","Q540456","22214"
"299734","Matt LeBlanc","1","21554","Q186896","158624"
"62683920","Kim Si-hyeon","1","6205","Q62919296","3628"
"66118195","Ronaldo (footballer, born August 1996)","1","6255","Q56065881","83"
"8536303","Devin Ratray","0","13225","Q520144","15663"
"2496832","Arthur Gardiner Butler","1","6660","Q494371","245"
"5310437","Nikolaos Gyzis","1","6528","Q472237","903"
"646426","Philippe de Champaigne","1","10318","Q314814","2562"
"1656193","Vicente Juan Masip","1","5259","Q11287651","475"
"39823344","Steve Toussaint","1","15415","Q2347359","148321"
"1080294","Adam Scott (golfer)","1","66054","Q350869","7055"
"26641696","İlkay Gündoğan","1","50382","Q161089","83584"
"297483","John Aniston","1","15753","Q439841","49073"
"40686373","Pavlos Matesis","0","3417","Q12044375","202"
"25760426","Gabriella Pession","0","5376","Q3756762","6453"
"8269381","Wiz Khalifa","1","47531","Q117139","79627"
"2428386","Sylvia Rhone","1","18540","Q13560788","2496"
"23792","Pope Alexander II","1","36214","Q171112","3391"
"63877904","James Erskine Murray","1","4566","Q75909569","48"
"4349902","Louis (singer)","1","3673","Q3395238","876"
"","Yuina_%28musician%29","","","",""
"32061267","Sidonie of Bavaria","0","5810","Q100474","310"
"196338","Zara Tindall","1","38361","Q147663","101367"
"275443","Kim Cattrall","1","59573","Q209175","91880"
"71243135","Shivon Zilis","0","8715","Q112957545","51939"
"70449499","Mária Bellová","0","656","Q95489919","35"
"20515","Matilda of Ringelheim","1","10392","Q234246","3259"
"276361","Kate Moss","1","52401","Q212531","100111"
"36326057","Andreas Kronthaler (sport shooter)","0","1308","Q499034","60"
"57809627","Park Hae-soo","0","73057","Q18732317","32347"
"3832260","Hella von Sinnen","0","4595","Q546211","661"
"51303795","Matthijs de Ligt","1","42493","Q26259982","55437"
"43822288","Harry Svensson","0","1962","Q18128515","59"
"49410570","Jorge García Marín","1","1338","Q1668834","32"
"152447","Sean Combs","1","118724","Q216936","208622"
"31744244","George Miller (footballer, born 1991)","1","8268","Q5542485","98"
"11777986","John Paskin Taylor","1","1452","Q1813090","62"
"35614108","Michele Mazzarino","1","5936","Q1361986","116"
"18700567","Jimmy Kelly (footballer, born 1973)","1","8807","Q6200533","105"
"2470246","Robert Blake (dentist)","1","3228","Q7342152","84"
"3489230","David P. Craig","1","5692","Q5238303","189"
"55878572","Ray Fisher (singer)","1","3669","Q19335566","165"
"53026830","Joris Nieuwenhuis","0","7245","Q22809995","162"
"43873550","Masako Mori (singer)","1","7711","Q9183956","2370"
"54845898","Philippos Stephanos Thottathil","0","4709","Q2087889","136"
"692640","Courtney B. Vance","1","27704","Q710169","54778"
"34993014","Elyas M'Barek","1","7444","Q78766","5540"
"848569","Ehud Olmert","1","86066","Q93181","8627"
"3097723","James R. Jordan Sr.","1","12607","Q3161193","26536"
"39091642","Ireland Baldwin","0","15222","Q13561648","86053"
"22633309","Pier Silvio Berlusconi","1","2815","Q940243","6148"
"164060","DJ Ötzi","1","20988","Q19734","3539"
"53100899","Chriselle Lim","1","10168","Q28673677","3298"
"62747226","DJ Rodman","1","7825","Q95304986","12452"
"8543614","Donald Glover","1","120399","Q1239933","198452"
"3816840","Jason Richardson (hurdler)","1","11807","Q438307","461"
"918653","Michael O'Leary (businessman)","1","27649","Q597242","12614"
"6884099","Anna Maria Mühe","1","3492","Q63033","1819"
"214478","Michel Platini","1","85122","Q4261","48049"
"34888068","Olivia Holt","1","42265","Q259047","34516"
"68987819","Charlbi Dean","1","18952","Q101064944","288368"
"33344106","Jetsun Pema","1","20395","Q209532","31259"
"32811048","Chris Pratt (show jumping rider)","1","3422","Q5107796","107"
"169991","Karl May","1","53924","Q22714","8669"
"8485","Diego Maradona","1","250342","Q17515","331483"
"183939","Edward George, Baron George","1","9143","Q335467","2981"
"4474382","Brad Woodall","0","2845","Q4954371","148"
"2805177","Jurnee Smollett","1","30689","Q2350967","157280"
"329524","Eugenie Scott","1","22105","Q466831","1113"
"9537857","Britt Hagedorn","1","1276","Q107799","388"
"27791","Sophie Germain","1","36999","Q7103","7422"
"18956316","Jason Lewis (Minnesota politician)","1","33987","Q6162964","2390"
"32313664","Lording Barry","1","4342","Q13227038","117"
"59048544","John Roberts (American football)","0","5184","Q60694114","66"
"56397592","Tyler Davis (basketball)","0","10307","Q48977473","1238"
"14201324","Jhené Aiko","1","67602","Q15929781","98130"
"508717","Julia Stiles","1","42494","Q210120","179760"
"2859370","Travis Schuldt","0","9546","Q931654","12870"
